EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1147701,CENTRAL PHOENIX (ZONE), ,07/17/2022,0,Heat, , ,5,0,0,0,AZ,MST-7, ,186983,Z,543,PSR,0,4,County Official, , , , , , , , ,07/17/2022,2359, , , , ,"Nine fatalities (5 direct and 4 indirect) were reported by the Maricopa County Department of Public Health, with their details, such as age, gender, circumstances, and exact location unavailable.","A strong upper level ridge situated over the Desert Southwest led to well above normal temperatures along with excessive heat conditions at times. Temperatures during this time at Phoenix Sky Harbor peaked on the 16th at 114 degrees. According to the Maricopa County Department of Public Health, 64 heat-associated fatalities occurred during this time.",410
1147702,NORTH PHOENIX/GLENDALE (ZONE), ,07/17/2022,0,Heat, , ,2,0,0,0,AZ,MST-7, ,186983,Z,544,PSR,0,2,County Official, , , , , , , , ,07/17/2022,2359, , , , ,"Four fatalities (2 direct and 2 indirect) were reported by the Maricopa County Department of Public Health, with their details, such as age, gender, circumstances, and exact location unavailable.","A strong upper level ridge situated over the Desert Southwest led to well above normal temperatures along with excessive heat conditions at times. Temperatures during this time at Phoenix Sky Harbor peaked on the 16th at 114 degrees. According to the Maricopa County Department of Public Health, 64 heat-associated fatalities occurred during this time.",411
1141388,TUCSON METRO AREA (ZONE), ,07/17/2022,1000,Heat, , ,2,0,0,0,AZ,MST-7, ,185953,Z,504,TWC,0,0,County Official, , , , , , , , ,07/18/2022,2000, , , , ,"Hot high temperatures around 105 degrees, or 5 degrees above normal, occurred on July 17 and 18, causing the Moderate Heat Risk category to be reached. The Pima County Medical Examiner confirmed that heat was the primary cause of death for one individual found outdoors in Tucson on the 17th and another found in the desert near Three Points on the 18th.","Hot temperatures 5 to 7 degrees above normal were experienced across parts of southeast Arizona July 17 and 18. The Pima County Medical Examiner confirmed that heat was the primary cause of death for one individual found outdoors in Tucson on the 17th and for an additional five individuals on the 18th. Of those, four were found in the desert: two on the Tohono O'odham Nation; one in east central Pima County; and one in Cochise County. A fifth individual died in the hospital shortly after being found in their Safford residence.",412
1050184,NAVAJO CO.,LAKESIDE,07/17/2022,1255,Hail,1.00, ,0,0,0,0,AZ,MST-7, ,172459,C,17,FGZ,0,0,Public, , , ,3,NNW,3,SE,LINDEN,07/17/2022,1300,34.19,-110,34.2498,-110.1154,"A mix of dime to quarter sized hail was reported northwest of Pinetop-Lakeside.","Deep moisture, light winds, and clear conditions in the morning allowed thunderstorms to produce heavy rain, flash flooding, and severe hail.",413
1046795,YAVAPAI CO.,MONTEZUMA CASTLE,07/17/2022,1600,Thunderstorm Wind,50.00, ,0,0,5000,0,AZ,MST-7,EG,172459,C,25,FGZ,0,0,Law Enforcement, , , ,1,WSW,3,N,MIDDLE VERDE,07/17/2022,1605,34.61,-111.85,34.6565,-111.8823,"Strong winds from thunderstorms broke tree limbs.","Deep moisture, light winds, and clear conditions in the morning allowed thunderstorms to produce heavy rain, flash flooding, and severe hail.",414
1046794,YAVAPAI CO.,CAMP VERDE ARPT,07/17/2022,1632,Heavy Rain, , ,0,0,0,0,AZ,MST-7, ,172459,C,25,FGZ,0,0,Trained Spotter, , , ,1,NW,6,E,CAMP VERDE ARPT,07/17/2022,1830,34.54,-111.84,34.5204,-111.7309,"A trained spotter reported 2.20 inches of rain south-southeast of Camp Verde.","Deep moisture, light winds, and clear conditions in the morning allowed thunderstorms to produce heavy rain, flash flooding, and severe hail.",415
1046793,YAVAPAI CO.,CAMP VERDE ARPT,07/17/2022,1753,Flash Flood, , ,0,0,0,0,AZ,MST-7, ,172459,C,25,FGZ,0,0,Law Enforcement,Heavy Rain, , ,2,E,2,S,CAMP VERDE ARPT,07/17/2022,1930,34.5292,-111.8022,34.5052,-111.8329,"Heavy rain produced flash flooding and road closures in Verde Lakes.","Deep moisture, light winds, and clear conditions in the morning allowed thunderstorms to produce heavy rain, flash flooding, and severe hail.",416
1049047,PINAL CO.,AVRA,07/17/2022,1850,Thunderstorm Wind,61.00, ,0,0,150000,0,AZ,MST-7,EG,172680,C,21,TWC,0,0,Broadcast Media, , , ,6,NE,3,SSE,WYMOLA,07/17/2022,1905,32.6232,-111.2093,32.6357,-111.3794,"Thunderstorm winds downed numerous poles down northeast of Red Rock along Park Link Rd between Cattle Tank Rd and Interstate 10. At a nearby tourist attraction, Rooster Cogburn Ostrich Ranch, winds downed additional poles; blew the roof off a residence and a large tent-like animal shelter; and flattened fences.","Scattered thunderstorms moved northwest across Pinal and Pima counties during the afternoon and evening. Storms became severe across southeast Pinal County where numerous power poles were downed that resulted a days long power outage. A dust storm caused a traffic accident on Interstate 10.",417
1049109,SOUTH CENTRAL PINAL COUNTY (ZONE), ,07/17/2022,1856,Dust Storm, , ,0,0,25000,0,AZ,MST-7, ,172680,Z,505,TWC,0,0,Department of Highways, , , , , , , , ,07/17/2022,1930, , , , ,"Thunderstorm winds produced a wall of dust that advanced westward across Pinal County. Visibility was reduced to near zero along Interstate 10 from Red Rock to  Picacho Peak to Eloy.  An accident occurred near mile post 15 that involved a semi-tractor trailer which rolled onto its side. No injuries were reported.","Scattered thunderstorms moved northwest across Pinal and Pima counties during the afternoon and evening. Storms became severe across southeast Pinal County where numerous power poles were downed that resulted a days long power outage. A dust storm caused a traffic accident on Interstate 10.",418
1049042,PIMA CO.,REDINGTON,07/17/2022,1858,Hail,1.00, ,0,0,0,0,AZ,MST-7, ,172680,C,19,TWC,0,0,Public, , , ,7,NW,7,NW,REDINGTON,07/17/2022,1858,32.51,-110.57,32.51,-110.57,"","Scattered thunderstorms moved northwest across Pinal and Pima counties during the afternoon and evening. Storms became severe across southeast Pinal County where numerous power poles were downed that resulted a days long power outage. A dust storm caused a traffic accident on Interstate 10.",419
